Date	Clock	Pressure	Temperature	dP	Std.OilFlowrate	WaterFlowrate	Std.GasFlowrate	Act.GasFlowrate	GOR(std)	Act.OilFlowrate	Act.Watercut	Std.Watercut	Act.GVF	Std.GVF	OilDensity	WaterDensity	GasDensity	Density	Permittivity	Conductivity	Act.OilMassRate	Act.WaterMassRate	Act.GasMassRate	Std.OilMassRate	Std.WaterMassRate	Std.GasMassRate	Std.AccumOilVol	AccumWaterVol	Std.AccumGasVol	Act.AccumOilVol	Act.AccumGasVol	
2017-02-23	00:14:00	328.227345	163.657776	1668.416928	3549.522193	347.162832	4.247035	0.172130	1196.520934	4194.466354	7.646657	8.912164	87.098533	99.484006	809.868863	1038.935685	19.547282	117.090131	1.237174	0.005392	22503.181510	2389.320457	3969.847196	20532.559190	2442.363142	4972.108101	945.281025	110.122298	1.192315	1115.230966	0.048883	
2017-02-23	00:15:00	328.411336	163.700302	1667.429129	3452.063654	394.158595	4.365408	0.177607	1264.235115	4098.069694	8.775032	10.406884	87.620299	99.506857	809.844671	1038.922762	19.556056	116.540101	1.234400	0.005392	21885.277340	2759.892980	4108.371975	19968.800713	2821.197465	5110.690647	947.684212	110.401801	1.195362	1118.070890	0.049007	
2017-02-23	00:16:00	328.126012	163.710345	1672.546174	3548.358952	353.249056	4.363146	0.173264	1229.913065	4159.361052	7.853685	9.753759	87.244305	99.496303	809.832705	1038.916368	19.541702	117.893177	1.235218	0.005392	22494.582193	2638.545694	4092.403333	20525.830304	2697.171763	5108.042403	950.175207	110.626421	1.198374	1120.766916	0.049118	
2017-02-23	00:17:00	328.188929	163.722307	1670.901174	3463.092620	400.341634	4.324308	0.179732	1249.861368	4115.641929	8.874538	9.901702	87.635771	99.503213	809.829880	1038.914859	19.541997	114.546506	1.233591	0.005392	21953.996579	2614.764008	4063.618184	20032.598845	2672.865649	5062.574106	952.607949	110.904489	1.201431	1123.651288	0.049244	
2017-02-23	00:18:00	328.203978	163.710304	1672.336447	3454.150798	365.240849	4.295979	0.174991	1245.697282	4081.744398	8.233925	9.611731	87.494828	99.499986	809.837864	1038.919125	19.540732	112.178976	1.234763	0.005392	22115.286628	2563.764481	4053.226563	20179.662823	2620.722855	5055.035198	954.813783	111.178390	1.204229	1126.495802	0.049368	
2017-02-23	00:19:00	328.462607	163.707265	1667.525120	3522.907967	375.319827	4.327915	0.175901	1228.516688	4163.143930	8.268257	9.680393	87.341354	99.489467	809.834553	1038.917356	19.558944	121.402618	1.236729	0.005392	22443.426435	2431.453449	3992.700452	20478.137070	2485.475940	4996.148067	957.306164	111.426769	1.207238	1129.441109	0.049491	
2017-02-23	00:20:00	328.602014	163.713747	1665.305997	3547.285308	354.966796	4.317763	0.175203	1216.837711	4192.054934	7.806840	9.832903	87.278692	99.501798	809.833644	1038.916870	19.564836	117.271927	1.233707	0.005392	22339.222498	2644.443950	4145.530886	20382.742302	2703.199695	5163.398885	959.768889	111.671489	1.210221	1132.351463	0.049612	
2017-02-23	00:21:00	328.657618	163.717821	1666.809301	3427.016104	404.956656	4.400749	0.179707	1283.624951	4049.956000	9.082196	10.557918	87.774691	99.509216	809.830591	1038.915239	19.567901	106.266753	1.233819	0.005392	21726.863074	2787.027701	4149.057378	19823.910703	2848.954776	5152.064840	962.163238	111.945286	1.213275	1135.181029	0.049736	
2017-02-23	00:22:00	328.350817	163.729301	1670.968434	3347.061349	455.552025	4.511130	0.185378	1347.508052	3955.319169	10.328764	11.980905	88.214697	99.528940	809.825482	1038.912509	19.554161	109.775396	1.235214	0.005392	21219.028622	3135.230386	4276.894283	19361.404585	3204.903782	5281.291565	964.508290	112.246919	1.216377	1137.952270	0.049863	
2017-02-23	00:23:00	328.391778	163.740915	1669.773583	3496.233626	374.659152	4.287154	0.174210	1226.815076	4131.624991	8.320554	9.685959	87.319035	99.495638	809.818867	1038.908974	19.555898	122.008994	1.236537	0.005392	22164.668714	2578.495300	4019.609854	20224.306246	2635.805498	5019.077292	966.921440	112.533987	1.219454	1140.803985	0.049989	
